,Unnamed: 0,Z1_ActualPosition,X1_OutputCurrent,M1_sequence_number,S1_ActualPosition,Y1_OutputCurrent,S1_OutputCurrent,M1_CURRENT_FEEDRATE,X1_DCBusVoltage,X1_OutputVoltage,clamp_pressure,Y1_DCBusVoltage,Y1_OutputVoltage
0,11586,29.5,327.0,28.0,-663.0,325.0,323.0,3.0,0.0565,5.45,4.0,0.152,13.2
1,19419,29.7,327.0,25.0,-1590.0,326.0,323.0,6.0,0.0709,6.78,3.0,0.107,14.3
2,18077,28.7,327.0,66.0,459.0,326.0,323.0,3.0,0.0998,10.6,3.0,0.0791,9.71
3,16264,35.4,327.0,96.0,759.0,326.0,322.0,3.0,0.0199,2.75,4.0,0.0285,0.0979
4,17890,32.2,328.0,95.0,-1380.0,326.0,320.0,3.0,0.0271,1.35,3.0,0.0241,0.153
5,24518,30.5,327.0,48.0,-463.0,325.0,322.0,50.0,0.0461,4.25,2.5,0.0218,1.43
6,1272,119.0,328.0,0.0,-1160.0,332.0,331.0,50.0,2.79e-19,0.0,4.0,2.68e-19,0.0
7,2593,28.5,325.0,2.0,1110.0,324.0,322.0,20.0,0.116,32.4,4.0,0.0191,2.53
8,6057,28.7,324.0,65.0,1400.0,324.0,314.0,6.0,0.0985,13.4,4.0,0.102,6.1
9,20413,119.0,330.0,2.0,-273.0,329.0,330.0,50.0,2.78e-19,0.0,3.0,2.78e-19,0.0
10,3336,29.8,326.0,14.0,342.0,325.0,319.0,6.0,0.0261,3.41,3.0,0.0281,2.48
11,436,28.5,326.0,2.0,1800.0,324.0,322.0,6.0,0.0878,7.26,4.0,0.102,14.4
12,15897,54.7,328.0,52.0,1360.0,326.0,321.0,50.0,0.0466,2.5,4.0,0.0339,1.5
13,3868,27.5,327.0,108.0,360.0,325.0,324.0,6.0,0.0439,4.8,3.0,0.132,15.1
14,10920,29.5,327.0,36.0,223.0,325.0,323.0,3.0,0.0665,7.2,4.0,0.0763,10.3
15,18504,28.7,327.0,2.0,-1680.0,326.0,323.0,3.0,0.109,11.4,3.0,0.0403,2.38
16,14877,29.7,327.0,43.0,709.0,325.0,322.0,3.0,0.0548,2.38,4.0,0.0782,10.1
17,16962,55.7,330.0,2.0,2150.0,329.0,330.0,50.0,0.0456,6.13,3.0,0.0296,4.85
18,3976,27.5,327.0,100.0,-93.5,325.0,321.0,6.0,0.0852,14.2,3.0,0.0157,1.68
19,12453,29.5,327.0,41.0,-1540.0,326.0,321.0,3.0,0.0587,4.03,3.0,0.113,10.0
20,15045,29.7,326.0,30.0,-307.0,325.0,321.0,3.0,0.0572,1.58,4.0,0.155,12.9
21,4473,119.0,329.0,0.0,-486.0,327.0,328.0,6.0,0.0194,1.31,2.5,0.02,0.909
22,14966,28.7,327.0,79.0,-489.0,325.0,319.0,3.0,0.0632,2.26,4.0,0.123,10.8
23,4857,29.5,327.0,0.0,-1250.0,326.0,327.0,50.0,0.0224,1.71,3.0,0.0226,3.93
24,1626,119.0,325.0,0.0,905.0,327.0,323.0,50.0,2.78e-19,0.0,4.0,2.69e-19,0.0
25,5435,27.7,324.0,97.0,-1480.0,323.0,316.0,6.0,0.0989,12.5,4.0,0.0857,10.3
26,4386,29.5,326.0,22.0,-77.5,325.0,318.0,6.0,0.096,11.7,2.5,0.0968,11.8
27,9447,55.7,327.0,0.0,-978.0,326.0,327.0,50.0,0.0507,1.15,4.0,0.0239,0.594
28,11440,27.5,327.0,98.0,1090.0,326.0,324.0,3.0,0.0763,9.66,4.0,0.0747,5.97
29,16151,29.7,327.0,38.0,173.0,325.0,323.0,3.0,0.0419,2.58,4.0,0.067,8.45
30,12359,29.5,327.0,35.0,-2150.0,326.0,323.0,3.0,0.0946,10.3,3.0,0.053,6.08
31,3035,27.5,327.0,122.0,1090.0,325.0,322.0,6.0,0.0847,7.14,3.0,0.111,14.3
32,12536,29.5,327.0,2.0,639.0,326.0,323.0,3.0,0.0548,11.2,3.0,0.0598,6.35
33,1505,119.0,328.0,0.0,-1160.0,332.0,331.0,50.0,2.79e-19,0.0,4.0,2.68e-19,0.0
34,16020,111.0,328.0,7.0,-2060.0,327.0,329.0,50.0,0.118,31.1,4.0,0.14,48.0
35,15185,55.7,330.0,0.0,42.0,329.0,330.0,50.0,0.0452,5.93,4.0,0.0422,0.383
36,2993,119.0,329.0,0.0,339.0,328.0,329.0,6.0,0.0171,1.07,3.0,0.028,2.22
37,12258,29.5,327.0,48.0,-821.0,325.0,324.0,3.0,0.045,5.65,3.0,0.0913,9.02
38,17035,27.7,327.0,106.0,-303.0,326.0,322.0,3.0,0.0768,7.07,3.0,0.0913,8.8
39,14506,27.7,327.0,109.0,2120.0,325.0,321.0,3.0,0.0544,3.39,4.0,0.0496,7.05
40,24202,27.7,327.0,2.0,1590.0,326.0,324.0,3.0,0.083,9.21,2.5,0.0791,5.39
41,5649,29.7,325.0,15.0,-881.0,323.0,318.0,6.0,0.0822,5.58,4.0,0.0605,12.3
42,4731,29.5,325.0,29.0,253.0,324.0,313.0,6.0,0.101,13.8,2.5,0.0192,2.0
43,16003,29.7,327.0,2.0,-1530.0,326.0,324.0,3.0,0.0737,9.22,4.0,0.133,7.92
44,1323,28.5,324.0,64.0,1020.0,324.0,315.0,20.0,0.124,33.2,4.0,0.0944,5.54
45,6313,28.7,325.0,60.0,1110.0,324.0,319.0,6.0,0.0806,13.9,4.0,0.0657,6.09
46,19954,29.7,327.0,29.0,-1390.0,326.0,323.0,6.0,0.103,13.6,3.0,0.0192,1.91
47,18756,28.7,327.0,87.0,-1690.0,326.0,322.0,3.0,0.0843,9.2,3.0,0.0435,1.95
48,9409,55.7,327.0,0.0,-978.0,326.0,327.0,50.0,0.0534,2.41,4.0,0.0208,1.59
49,15580,28.7,327.0,75.0,-927.0,325.0,321.0,3.0,0.0924,7.1,4.0,0.0161,1.06
50,24781,28.7,327.0,71.0,1380.0,326.0,322.0,3.0,0.0562,8.34,2.5,0.027,2.76
