,Z1_ActualPosition,Y1_OutputCurrent,X1_DCBusVoltage,X1_OutputCurrent,S1_ActualPosition
11586,29.5,325.0,0.0565,327.0,-663.0
19419,29.7,326.0,0.0709,327.0,-1590.0
18077,28.7,326.0,0.0998,327.0,459.0
16264,35.4,326.0,0.0199,327.0,759.0
17890,32.2,326.0,0.0271,328.0,-1380.0
24518,30.5,325.0,0.0461,327.0,-463.0
1272,119.0,332.0,2.79e-19,328.0,-1160.0
2593,28.5,324.0,0.116,325.0,1110.0
6057,28.7,324.0,0.0985,324.0,1400.0
20413,119.0,329.0,2.78e-19,330.0,-273.0
3336,29.8,325.0,0.0261,326.0,342.0
436,28.5,324.0,0.0878,326.0,1800.0
15897,54.7,326.0,0.0466,328.0,1360.0
3868,27.5,325.0,0.0439,327.0,360.0
10920,29.5,325.0,0.0665,327.0,223.0
18504,28.7,326.0,0.109,327.0,-1680.0
14877,29.7,325.0,0.0548,327.0,709.0
16962,55.7,329.0,0.0456,330.0,2150.0
3976,27.5,325.0,0.0852,327.0,-93.5
12453,29.5,326.0,0.0587,327.0,-1540.0
15045,29.7,325.0,0.0572,326.0,-307.0
4473,119.0,327.0,0.0194,329.0,-486.0
14966,28.7,325.0,0.0632,327.0,-489.0
4857,29.5,326.0,0.0224,327.0,-1250.0
1626,119.0,327.0,2.78e-19,325.0,905.0
5435,27.7,323.0,0.0989,324.0,-1480.0
4386,29.5,325.0,0.096,326.0,-77.5
9447,55.7,326.0,0.0507,327.0,-978.0
11440,27.5,326.0,0.0763,327.0,1090.0
16151,29.7,325.0,0.0419,327.0,173.0
12359,29.5,326.0,0.0946,327.0,-2150.0
3035,27.5,325.0,0.0847,327.0,1090.0
12536,29.5,326.0,0.0548,327.0,639.0
1505,119.0,332.0,2.79e-19,328.0,-1160.0
16020,111.0,327.0,0.118,328.0,-2060.0
15185,55.7,329.0,0.0452,330.0,42.0
2993,119.0,328.0,0.0171,329.0,339.0
12258,29.5,325.0,0.045,327.0,-821.0
17035,27.7,326.0,0.0768,327.0,-303.0
14506,27.7,325.0,0.0544,327.0,2120.0
24202,27.7,326.0,0.083,327.0,1590.0
5649,29.7,323.0,0.0822,325.0,-881.0
4731,29.5,324.0,0.101,325.0,253.0
16003,29.7,326.0,0.0737,327.0,-1530.0
1323,28.5,324.0,0.124,324.0,1020.0
6313,28.7,324.0,0.0806,325.0,1110.0
19954,29.7,326.0,0.103,327.0,-1390.0
18756,28.7,326.0,0.0843,327.0,-1690.0
9409,55.7,326.0,0.0534,327.0,-978.0
15580,28.7,325.0,0.0924,327.0,-927.0
24781,28.7,326.0,0.0562,327.0,1380.0
16272,27.7,326.0,0.0703,327.0,-1880.0
15907,28.7,326.0,0.089,327.0,300.0
6494,29.7,323.0,0.0992,325.0,176.0
24533,29.7,325.0,0.0613,327.0,-1570.0
17675,29.7,326.0,0.0517,327.0,-2010.0
14765,29.7,325.0,0.089,326.0,-638.0
