,worn
11586,0
19419,1
18077,1
16264,1
17890,1
24518,1
1272,0
2593,0
6057,1
20413,1
3336,0
436,0
15897,1
3868,0
10920,0
18504,1
14877,1
16962,1
3976,0
12453,0
15045,1
4473,0
14966,1
4857,0
1626,0
5435,1
4386,0
9447,1
11440,0
16151,1
12359,0
3035,0
12536,0
1505,0
16020,1
15185,1
2993,0
12258,0
17035,1
14506,1
24202,1
5649,1
4731,0
16003,1
1323,0
6313,1
19954,1
18756,1
9409,1
15580,1
24781,1
16272,1
15907,1
6494,1
24533,1
17675,1
14765,1
8903,1
14075,0
7358,1
8076,1
21340,0
16327,1
9151,1
10744,0
11166,0
23895,1
4838,0
10192,0
20480,1
11665,0
10921,0
8210,1
15323,1
19903,1
13898,0
13424,0
502,0
16797,1
18344,1
16337,1
23184,1
8978,1
12324,0
157,0
16144,1
24593,1
9880,0
2988,0
10815,0
22494,0
14062,0
2027,0
23645,1
3831,0
18610,1
3198,0
14920,1
7470,1
16166,1
21123,0
8240,1
13829,0
24741,1
17635,1
17123,1
8735,1
12117,0
1456,0
15017,1
9849,0
10651,0
13793,0
16852,1
16043,1
10629,0
1407,0
21747,0
24826,1
8617,1
11624,0
14937,1
13199,0
5528,1
16300,1
11644,0
11654,0
15918,1
13688,0
21236,0
22481,0
23450,1
1542,0
14579,1
478,0
21755,0
17950,1
12521,0
18725,1
6272,1
21280,0
540,0
15986,1
24994,1
576,0
9420,1
19915,1
17819,1
6138,1
3829,0
17705,1
19973,1
5960,1
8073,1
13360,0
19733,1
18325,1
11555,0
16084,1
4508,0
24278,1
344,0
19529,1
22652,0
8651,1
4661,0
24428,1
24932,1
7610,1
18482,1
18449,1
5422,1
3182,0
14792,1
2506,0
7462,1
4597,0
19740,1
8151,1
7188,1
3504,0
2255,0
24359,1
11083,0
13253,0
17213,1
1509,0
16204,1
3563,0
24839,1
15594,1
8704,1
3830,0
19385,1
12637,0
14584,1
6652,1
2686,0
24013,1
18287,1
9394,1
14981,1
15173,1
10775,0
20540,1
4040,0
7151,1
7160,1
17082,1
12350,0
21462,0
17259,1
9516,1
4082,0
21383,0
24042,1
14004,0
23268,1
12537,0
24116,1
17690,1
18633,1
13837,0
5998,1
17110,1
18237,1
12313,0
22159,0
1959,0
5527,1
2464,0
17457,1
9983,0
3865,0
24107,1
22684,0
19416,1
15072,1
10309,0
15249,1
17159,1
19796,1
5867,1
12339,0
18100,1
15082,1
2616,0
237,0
23421,1
19814,1
1259,0
21251,0
19215,1
24641,1
5893,1
928,0
21764,0
14968,1
6634,1
12402,0
15961,1
2458,0
5545,1
17420,1
19884,1
2517,0
5340,1
11128,0
3676,0
9033,1
10560,0
14126,0
19809,1
2086,0
23337,1
15240,1
8389,1
17198,1
2821,0
9878,0
10368,0
2607,0
9557,1
17901,1
10976,0
11196,0
11154,0
3674,0
13479,0
23501,1
24668,1
8790,1
6291,1
16194,1
8501,1
16371,1
14595,1
2226,0
23550,1
18541,1
9229,1
13529,0
13746,0
18207,1
10380,0
16244,1
24113,1
15282,1
21314,0
17664,1
23288,1
13511,0
17405,1
16177,1
21792,0
15522,1
22640,0
1985,0
10917,0
19987,1
17737,1
13204,0
11751,0
22108,0
13782,0
10015,0
12639,0
19940,1
69,0
19873,1
25081,1
9338,1
16926,1
6263,1
15593,1
3087,0
13871,0
5669,1
218,0
17852,1
14027,0
15352,1
19904,1
8204,1
10669,0
5976,1
919,0
11512,0
480,0
322,0
9317,1
6611,1
7920,1
19497,1
2160,0
10218,0
19881,1
20511,1
3483,0
16842,1
14047,0
23220,1
9496,1
22545,0
11614,0
6431,1
7542,1
12433,0
1651,0
20581,1
13760,0
17670,1
24440,1
24321,1
17033,1
24201,1
16370,1
8642,1
3184,0
22572,0
24372,1
21480,0
24995,1
8368,1
1332,0
7901,1
23624,1
21823,0
2640,0
25060,1
10706,0
9576,1
1329,0
4027,0
24483,1
7324,1
3494,0
6650,1
24232,1
13690,0
8774,1
21825,0
22131,0
3479,0
3141,0
14858,1
5317,1
4836,0
12419,0
8918,1
15490,1
14862,1
2245,0
4676,0
21349,0
21353,0
10152,0
21542,0
15006,1
7574,1
17904,1
2161,0
25033,1
5963,1
5431,1
5934,1
10938,0
7545,1
14845,1
8801,1
24333,1
11398,0
24952,1
9515,1
7163,1
20450,1
23133,1
10984,0
10681,0
15410,1
19469,1
17244,1
20014,1
19977,1
11400,0
1574,0
11181,0
3933,0
14949,1
16286,1
10832,0
19891,1
21147,0
5470,1
17302,1
17041,1
18266,1
15317,1
16986,1
13449,0
3918,0
3589,0
2971,0
4102,0
8246,1
22427,0
13234,0
21752,0
15279,1
18049,1
14690,1
10216,0
16000,1
18078,1
19175,1
6302,1
17452,1
11753,0
18356,1
12557,0
25078,1
20421,1
12384,0
2217,0
8523,1
2452,0
5828,1
14648,1
8581,1
8636,1
4605,0
21151,0
24589,1
14706,1
13823,0
19173,1
3641,0
12261,0
10324,0
682,0
14888,1
15186,1
1005,0
8766,1
6614,1
273,0
10111,0
2004,0
13788,0
21893,0
10033,0
4373,0
3834,0
18084,1
1240,0
11129,0
17886,1
3886,0
22114,0
5941,1
22434,0
9922,0
9032,1
9907,0
15938,1
14642,1
7557,1
181,0
9986,0
10900,0
1388,0
21478,0
2632,0
14953,1
5830,1
11708,0
7830,1
24564,1
3071,0
22670,0
17031,1
24061,1
10967,0
15909,1
25012,1
4790,0
2430,0
24882,1
15489,1
11572,0
10797,0
22493,0
10252,0
13938,0
13206,0
14583,1
200,0
15194,1
24889,1
18788,1
16239,1
22037,0
15268,1
23517,1
2061,0
101,0
23356,1
22716,0
24724,1
4409,0
890,0
22693,0
6311,1
3481,0
414,0
14826,1
19553,1
23244,1
21492,0
17005,1
13439,0
973,0
11116,0
16252,1
11003,0
4414,0
24963,1
23241,1
15012,1
8795,1
6659,1
15515,1
24224,1
6379,1
18764,1
15384,1
4659,0
5918,1
4371,0
10658,0
7453,1
21953,0
25068,1
2266,0
657,0
19219,1
24315,1
19490,1
12341,0
20419,1
19251,1
18385,1
20002,1
9879,0
22127,0
21980,0
9355,1
17756,1
21204,0
1934,0
1944,0
21103,0
3945,0
15287,1
17724,1
8610,1
4803,0
8545,1
7068,1
3135,0
16031,1
21248,0
21965,0
1570,0
18773,1
11207,0
24535,1
5410,1
15405,1
14957,1
569,0
24585,1
24836,1
584,0
24831,1
920,0
15599,1
9332,1
15987,1
14702,1
17428,1
5533,1
16935,1
9909,0
17981,1
3165,0
14666,1
2513,0
7562,1
11508,0
17781,1
17388,1
22552,0
15956,1
2234,0
21277,0
15365,1
5692,1
15265,1
18732,1
3129,0
2158,0
212,0
6460,1
16857,1
1427,0
81,0
7913,1
13203,0
21221,0
13165,0
23304,1
1471,0
88,0
4787,0
18469,1
24318,1
6440,1
19504,1
22113,0
24365,1
4400,0
9539,1
6654,1
7422,1
51,0
1933,0
23351,1
2088,0
15575,1
9482,1
3638,0
2928,0
15421,1
19520,1
8875,1
25069,1
4462,0
2885,0
13333,0
11655,0
7228,1
20502,1
552,0
14889,1
19950,1
15533,1
8386,1
7275,1
14564,1
4053,0
21739,0
23295,1
2106,0
23898,1
5833,1
22117,0
16930,1
8162,1
16284,1
6115,1
13374,0
3014,0
500,0
18458,1
335,0
3525,0
13796,0
10373,0
879,0
23887,1
19383,1
16971,1
13534,0
677,0
2121,0
14797,1
789,0
296,0
12115,0
7378,1
534,0
1601,0
18642,1
14085,0
22470,0
164,0
1667,0
15306,1
4567,0
17257,1
3567,0
14113,0
15338,1
5605,1
5505,1
7158,1
6021,1
21733,0
22213,0
19300,1
15191,1
8629,1
2808,0
651,0
6632,1
8653,1
21922,0
12106,0
7328,1
656,0
21308,0
14657,1
184,0
13671,0
18442,1
19869,1
8271,1
18256,1
17994,1
9450,1
10672,0
1595,0
9071,1
409,0
21510,0
20508,1
13756,0
19444,1
6788,1
1494,0
21133,0
2058,0
12681,0
9553,1
276,0
18703,1
1547,0
19572,1
18655,1
15070,1
5319,1
3032,0
13798,0
24317,1
10208,0
10326,0
15447,1
18144,1
2427,0
16283,1
4805,0
3437,0
14812,1
8938,1
14589,1
13540,0
12664,0
23586,1
10199,0
10888,0
24802,1
7926,1
19375,1
13672,0
13718,0
15562,1
12255,0
2991,0
15373,1
23215,1
24174,1
16140,1
4812,0
9926,0
6015,1
12456,0
8799,1
19910,1
23270,1
7416,1
13313,0
10341,0
4121,0
22138,0
24184,1
18411,1
11629,0
23529,1
18757,1
2599,0
946,0
13968,0
10089,0
2033,0
16304,1
8364,1
16820,1
21162,0
10021,0
1530,0
4825,0
24993,1
10144,0
11079,0
13885,0
19198,1
9936,0
1358,0
16978,1
3055,0
22387,0
9236,1
3664,0
6459,1
11719,0
14535,1
6677,1
8951,1
18309,1
12321,0
13959,0
13423,0
21872,0
13416,0
20527,1
2894,0
10136,0
13960,0
24870,1
17788,1
7715,1
14878,1
17967,1
2252,0
15315,1
6469,1
18437,1
10937,0
17992,1
10088,0
10679,0
289,0
8994,1
17433,1
11046,0
21365,0
1336,0
15285,1
15572,1
19744,1
19327,1
1439,0
15385,1
23311,1
5593,1
18330,1
6665,1
23385,1
2537,0
14038,0
3997,0
23559,1
11691,0
5651,1
2896,0
17665,1
11157,0
24700,1
5371,1
16036,1
16257,1
16139,1
20417,1
19522,1
7374,1
23452,1
14129,0
15344,1
10190,0
23338,1
16095,1
3937,0
15470,1
1333,0
2950,0
9488,1
11456,0
5388,1
1931,0
17943,1
24551,1
11010,0
2494,0
8295,1
861,0
10197,0
14762,1
393,0
23583,1
21282,0
16158,1
7856,1
21941,0
15971,1
14532,1
24946,1
10124,0
2994,0
16975,1
19398,1
22622,0
14573,1
4035,0
11564,0
21751,0
24431,1
6613,1
14486,1
23447,1
4718,0
22531,0
19351,1
4528,0
4374,0
18257,1
20457,1
9303,1
9059,1
14897,1
10147,0
20615,1
12578,0
9888,0
22621,0
4527,0
1625,0
15440,1
13281,0
10352,0
1640,0
17472,1
4585,0
16007,1
13867,0
17155,1
8161,1
19556,1
22103,0
17775,1
3507,0
6111,1
24664,1
16195,1
12400,0
12132,0
5924,1
16111,1
4079,0
16198,1
11593,0
6830,1
8084,1
23973,1
18106,1
9305,1
8169,1
6055,1
16044,1
15212,1
7337,1
9866,0
6076,1
2192,0
17881,1
8561,1
16959,1
4543,0
24283,1
624,0
3919,0
6200,1
15032,1
16250,1
3472,0
10585,0
17933,1
6489,1
2514,0
2845,0
21896,0
18081,1
9500,1
2145,0
15326,1
20475,1
16829,1
10318,0
4005,0
3155,0
7595,1
3461,0
3520,0
18668,1
9261,1
1476,0
18232,1
9477,1
1440,0
2241,0
17663,1
1508,0
23332,1
3511,0
3621,0
10562,0
307,0
7189,1
22482,0
575,0
778,0
10363,0
13971,0
8898,1
18285,1
21403,0
6699,1
22569,0
19828,1
12287,0
8658,1
5685,1
2549,0
16352,1
22512,0
38,0
6305,1
18388,1
21988,0
2697,0
7876,1
12585,0
9877,0
5552,1
8247,1
23200,1
20410,1
5383,1
195,0
827,0
14906,1
22089,0
4354,0
9518,1
268,0
14491,1
3949,0
9061,1
17279,1
18231,1
8044,1
23993,1
9568,1
327,0
16378,1
23481,1
